Title,Actors,Year,Runtime_Minutes
Begin Again,"Keira Knightley, Mark Ruffalo, Adam Levine, Hailee Steinfeld",2013,104
Out of the Furnace,"Christian Bale, Casey Affleck, Zoe Saldana, Woody Harrelson",2013,116
Vicky Cristina Barcelona,"Rebecca Hall, Scarlett Johansson, Javier Bardem,Christopher Evan Welch",2008,96
Kung Fu Panda,"Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman",2008,92
Barbershop: The Next Cut,"Ice Cube, Regina Hall, Anthony Anderson, Eve",2016,111
Terminator Salvation,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood",2009,115
Freedom Writers,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn",2007,123
The Hills Have Eyes,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin",2006,107
Changeling,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",2008,141
Remember Me,"Robert Pattinson, Emilie de Ravin, Caitlyn Rund,Moisés Acevedo",2010,113
Koe no katachi,"Miyu Irino, Saori Hayami, Aoi Yuki, Kenshô Ono",2016,129
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette",2014,81
Locke,"Tom Hardy, Olivia Colman, Ruth Wilson, Andrew Scott",2013,85
The 9th Life of Louis Drax,"Jamie Dornan, Aiden Longworth, Sarah Gadon,Aaron Paul",2016,108
Horns,"Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson",2013,120
Indignation,"Logan Lerman, Sarah Gadon, Tijuana Ricks, Sue Dahlman",2016,110
The Stanford Prison Experiment,"Ezra Miller, Tye Sheridan, Billy Crudup, Olivia Thirlby",2015,122
Diary of a Wimpy Kid: Rodrick Rules,"Zachary Gordon, Devon Bostick, Robert Capron,Rachael Harris",2011,99
Mission: Impossible III,"Tom Cruise, Michelle Monaghan, Ving Rhames, Philip Seymour Hoffman",2006,126
En man som heter Ove,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",2015,116
Dragonball Evolution,"Justin Chatwin, James Marsters, Yun-Fat Chow, Emmy Rossum",2009,85
Red Dawn,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",2012,93
One Day,"Anne Hathaway, Jim Sturgess, Patricia Clarkson,Tom Mison",2011,107
Life as We Know It,"Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett",2010,114
28 Weeks Later,"Jeremy Renner, Rose Byrne, Robert Carlyle, Harold Perrineau",2007,100
Warm Bodies,"Nicholas Hoult, Teresa Palmer, John Malkovich,Analeigh Tipton",2013,98
Blue Jasmine,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins",2013,98
G.I. Joe: Retaliation,"Dwayne Johnson, Channing Tatum, Adrianne Palicki,Byung-hun Lee",2013,110
Wrath of the Titans,"Sam Worthington, Liam Neeson, Rosamund Pike, Ralph Fiennes",2012,99
Shin Gojira,"Hiroki Hasegawa, Yutaka Takenouchi,Satomi Ishihara, Ren Ôsugi",2016,120
Saving Mr. Banks,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",2013,125
Transcendence,"Johnny Depp, Rebecca Hall, Morgan Freeman, Cillian Murphy",2014,119
Rio,"Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher",2011,96
Equals,"Nicholas Hoult, Kristen Stewart, Vernetta Lopez,Scott Lawrence",2015,101
Babel,"Brad Pitt, Cate Blanchett, Gael García Bernal, Mohamed Akhzam",2006,143
The Tree of Life,"Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",2011,139
The Lucky One,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart",2012,101
Piranha 3D,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss,Ving Rhames",2010,88
50/50,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",2011,100
The Intent,"Dylan Duffus, Scorcher,Shone Romulus, Jade Asha",2016,104
This Is 40,"Paul Rudd, Leslie Mann, Maude Apatow, Iris Apatow",2012,134
Real Steel,"Hugh Jackman, Evangeline Lilly, Dakota Goyo,Anthony Mackie",2011,127
Sex and the City,"Sarah Jessica Parker, Kim Cattrall, Cynthia Nixon, Kristin Davis",2008,145
Rambo,"Sylvester Stallone, Julie Benz, Matthew Marsden, Graham McTavish",2008,92
Planet Terror,"Rose McGowan, Freddy Rodríguez, Josh Brolin,Marley Shelton",2007,105
Concussion,"Will Smith, Alec Baldwin, Albert Brooks, David Morse",2015,123
The Fall,"Lee Pace, Catinca Untaru, Justine Waddell, Kim Uylenbroek",2006,117
The Ugly Truth,"Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter",2009,96
Bride Wars,"Kate Hudson, Anne Hathaway, Candice Bergen, Bryan Greenberg",2009,89
Sleeping with Other People,"Jason Sudeikis, Alison Brie, Jordan Carlos,Margarita Levieva",2015,101
Snakes on a Plane,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",2006,105
What If,"Daniel Radcliffe, Zoe Kazan, Megan Park, Adam Driver",2013,98
How to Train Your Dragon 2,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",2014,102
RoboCop,"Joel Kinnaman, Gary Oldman, Michael Keaton, Abbie Cornish",2014,117
In Dubious Battle,"Nat Wolff, James Franco, Vincent D'Onofrio, Selena Gomez",2016,110
"Hello, My Name Is Doris","Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey",2015,95
Ocean's Thirteen,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell",2007,122
Slither,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson",2006,95
Contagion,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow",2011,106
Il racconto dei racconti - Tale of Tales,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly",2015,133
I Am the Pretty Thing That Lives in the House,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban",2016,87
Bridge to Terabithia,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",2007,96
Coherence,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",2013,89
Notorious,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione",2009,122
Goksung,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun",2016,156
The Expendables 2,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme",2012,103
The Girl Next Door,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin",2007,91
Perfume: The Story of a Murderer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol",2006,147
The Golden Compass,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker",2007,113
Centurion,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski",2010,97
Scouts Guide to the Zombie Apocalypse,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont",2015,93
17 Again,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon",2009,102
No Escape,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak",2015,103
Superman Returns,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",2006,154
The Twilight Saga: Breaking Dawn - Part 1,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham",2011,117
Precious,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey",2009,110
The Sea of Trees,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta",2015,110
Good Kids,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard",2016,86
The Master,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons",2012,144
Footloose,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell",2011,113
If I Stay,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard",2014,107
The Ticket,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishé",2016,97
Detour,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer",2016,97
The Love Witch,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys",2016,120
Talladega Nights: The Ballad of Ricky Bobby,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole",2006,108
The Human Centipede (First Sequence),"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura",2009,92
Super,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon",2010,96
The Siege of Jadotville,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton",2016,108
Up in the Air,"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman",2009,109
The Midnight Meat Train,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields",2008,98
The Twilight Saga: Eclipse,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel",2010,124
Transpecos,"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord",2016,86
What's Your Number?,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",2011,106
Riddick,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà",2013,119
Triangle,"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman",2009,99
The Butler,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda",2013,132
King Cobra,"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley",2016,91
After Earth,"Jaden Smith, David Denman, Will Smith,Sophie Okonedo",2013,100
Kicks,"Jahking Guillory, Christopher Jordan Wallace,Christopher Meyer, Kofi Siriboe",2016,80
Me and Earl and the Dying Girl,"Thomas Mann, RJ Cyler, Olivia Cooke, Nick Offerman",2015,105
The Descendants,"George Clooney, Shailene Woodley, Amara Miller, Nick Krause",2011,115
Sex and the City 2,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon",2010,146
The Kings of Summer,"Nick Robinson, Gabriel Basso, Moises Arias,Nick Offerman",2013,95
Death Race,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane",2008,105
That Awkward Moment,"Zac Efron, Michael B. Jordan, Miles Teller, Imogen Poots",2014,94
Legion,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black",2010,100
End of Watch,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",2012,109
3 Days to Kill,"Kevin Costner, Hailee Steinfeld, Connie Nielsen, Amber Heard",2014,117
Lucky Number Slevin,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu",2006,110
Trance,"James McAvoy, Rosario Dawson, Vincent Cassel,Danny Sapani",2013,101
Into the Forest,"Ellen Page, Evan Rachel Wood, Max Minghella,Callum Keith Rennie",2015,101
The Other Boleyn Girl,"Natalie Portman, Scarlett Johansson, Eric Bana,Jim Sturgess",2008,115
I Spit on Your Grave,"Sarah Butler, Jeff Branson, Andrew Howard,Daniel Franzese",2010,108
Custody,"Viola Davis, Hayden Panettiere, Catalina Sandino Moreno, Ellen Burstyn",2016,104
Inland Empire,"Laura Dern, Jeremy Irons, Justin Theroux, Karolina Gruszka",2006,180
L'odyssée,"Lambert Wilson, Pierre Niney, Audrey Tautou,Laurent Lucas",2016,122
The Walk,"Joseph Gordon-Levitt, Charlotte Le Bon,Guillaume Baillargeon, Émilie Leclerc",2015,123
Wrecker,"Anna Hutchison, Andrea Whitburn, Jennifer Koenig,Michael Dickson",2015,83
The Lone Ranger,"Johnny Depp, Armie Hammer, William Fichtner,Tom Wilkinson",2013,150
Texas Chainsaw 3D,"Alexandra Daddario, Tania Raymonde, Scott Eastwood, Trey Songz",2013,92
Disturbia,"Shia LaBeouf, David Morse, Carrie-Anne Moss, Sarah Roemer",2007,105
Rock of Ages,"Julianne Hough, Diego Boneta, Tom Cruise, Alec Baldwin",2012,123
Scream 4,"Neve Campbell, Courteney Cox, David Arquette, Lucy Hale",2011,111
Queen of Katwe,"Madina Nalwanga, David Oyelowo, Lupita Nyong'o, Martin Kabanza",2016,124
My Big Fat Greek Wedding 2,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",2016,94
Dark Places,"Charlize Theron, Nicholas Hoult, Christina Hendricks, Chloë Grace Moretz",2015,113
Amateur Night,"Jason Biggs, Janet Montgomery,Ashley Tisdale, Bria L. Murphy",2016,92
It's Only the End of the World,"Nathalie Baye, Vincent Cassel, Marion Cotillard, Léa Seydoux",2016,97
The Skin I Live In,"Antonio Banderas, Elena Anaya, Jan Cornet,Marisa Paredes",2011,120
Miracles from Heaven,"Jennifer Garner, Kylie Rogers, Martin Henderson,Brighton Sharbino",2016,109
Annie,"Quvenzhané Wallis, Cameron Diaz, Jamie Foxx, Rose Byrne",2014,118
Across the Universe,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs",2007,133
Let's Be Cops,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev",2014,104
Max,"Thomas Haden Church, Josh Wiggins, Luke Kleintank,Lauren Graham",2015,111
Your Highness,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",2011,102
Final Destination 5,"Nicholas D'Agosto, Emma Bell, Arlen Escarpeta, Miles Fisher",2011,92
Endless Love,"Gabriella Wilde, Alex Pettyfer, Bruce Greenwood,Robert Patrick",2014,104
Martyrs,"Morjana Alaoui, Mylène Jampanoï, Catherine Bégin,Robert Toupin",2008,99
Selma,"David Oyelowo, Carmen Ejogo, Tim Roth, Lorraine Toussaint",2014,128
Underworld: Rise of the Lycans,"Rhona Mitra, Michael Sheen, Bill Nighy, Steven Mackintosh",2009,92
Taare Zameen Par,"Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer",2007,165
Take Me Home Tonight,"Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer",2011,97
Resident Evil: Afterlife,"Milla Jovovich, Ali Larter, Wentworth Miller,Kim Coates",2010,97
Project X,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame",2012,88
Secret in Their Eyes,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris",2015,111
Hostel: Part II,"Lauren German, Heather Matarazzo, Bijou Phillips, Roger Bart",2007,94
Step Up 2: The Streets,"Robert Hoffman, Briana Evigan, Cassie Ventura, Adam G. Sevani",2008,98
Search Party,"Adam Pally, T.J. Miller, Thomas Middleditch,Shannon Woodward",2014,93
Nine Lives,"Kevin Spacey, Jennifer Garner, Robbie Amell,Cheryl Hines",2016,87
